"","geneSymbol","cluster"
"1","0610009B22Rik",1
"2","0610009L18Rik",1
"3","0610010F05Rik",2
"4","0610010K14Rik",3
"5","0610011F06Rik",4
"6","0610012G03Rik",4
"7","0610030E20Rik",5
"8","0610040B10Rik",1
"9","1110001J03Rik",4
"10","1110007C09Rik",4
"11","1110008P14Rik",1
"12","1110012L19Rik",2
"13","1110019D14Rik",4
"14","1110032F04Rik",4
"15","1110038B12Rik",5
"16","1190002N15Rik",6
"17","1190007I07Rik",5
"18","1500011B03Rik",3
"19","1500011K16Rik",4
"20","1500015A07Rik",5
"21","1500017E21Rik",1
"22","1600002H07Rik",3
"23","1600012H06Rik",4
"24","1600014C10Rik",4
"25","1600020E01Rik",5
"26","1700001L05Rik",4
"27","1700001O22Rik",4
"28","1700007K13Rik",5
"29","1700008J07Rik",5
"30","1700012D01Rik",4
"31","1700017B05Rik",5
"32","1700019G17Rik",4
"33","1700021F05Rik",4
"34","1700021K19Rik",1
"35","1700025G04Rik",1
"36","1700026D08Rik",4
"37","1700029J07Rik",5
"38","1700034H15Rik",3
"39","1700037H04Rik",3
"40","1700040L02Rik",1
"41","1700088E04Rik",1
"42","1700094D03Rik",5
"43","1700101I11Rik",6
"44","1700102P08Rik",5
"45","1700113A16Rik",5
"46","1700113H08Rik",4
"47","1810010H24Rik",1
"48","1810011O10Rik",1
"49","1810021B22Rik",4
"50","1810026B05Rik",1
"51","1810026J23Rik",7
"52","1810030O07Rik",5
"53","1810032O08Rik",5
"54","1810034E14Rik",6
"55","1810037I17Rik",1
"56","1810043G02Rik",8
"57","1810058I24Rik",4
"58","2010001A14Rik",4
"59","2010107E04Rik",4
"60","2010111I01Rik",1
"61","2010300C02Rik",7
"62","2210013O21Rik",7
"63","2210015D19Rik",1
"64","2210016F16Rik",4
"65","2210016L21Rik",8
"66","2210408I21Rik",2
"67","2310001H17Rik",2
"68","2310002F09Rik",5
"69","2310009B15Rik",6
"70","2310030G06Rik",1
"71","2310039H08Rik",4
"72","2310039L15Rik",4
