"","geneSymbol","cluster"
"1","0610009B22Rik",1
"2","0610009L18Rik",1
"3","0610010F05Rik",2
"4","0610010K14Rik",3
"5","0610012G03Rik",4
"6","0610030E20Rik",3
"7","0610040B10Rik",1
"8","1110001J03Rik",4
"9","1110004F10Rik",3
"10","1110007C09Rik",1
"11","1110008F13Rik",1
"12","1110008L16Rik",3
"13","1110008P14Rik",1
"14","1110012L19Rik",3
"15","1110019D14Rik",4
"16","1110032F04Rik",4
"17","1110037F02Rik",5
"18","1110038B12Rik",3
"19","1190002N15Rik",6
"20","1190007I07Rik",3
"21","1500011B03Rik",7
"22","1500011K16Rik",4
"23","1500015A07Rik",7
"24","1500017E21Rik",1
"25","1600002H07Rik",7
"26","1600012H06Rik",4
"27","1600014C10Rik",4
"28","1600020E01Rik",7
"29","1700001G17Rik",3
"30","1700001L05Rik",4
"31","1700001O22Rik",1
"32","1700007K13Rik",3
"33","1700008J07Rik",3
"34","1700008O03Rik",3
"35","1700012D01Rik",4
"36","1700019G17Rik",1
"37","1700020I14Rik",4
"38","1700021F05Rik",1
"39","1700021K19Rik",1
"40","1700025G04Rik",1
"41","1700026D08Rik",4
"42","1700029J07Rik",7
"43","1700034H15Rik",8
"44","1700037C18Rik",4
"45","1700037H04Rik",3
"46","1700040L02Rik",1
"47","1700052K11Rik",4
"48","1700094D03Rik",7
"49","1700101I11Rik",5
"50","1700102P08Rik",3
"51","1700110I01Rik",1
"52","1700112E06Rik",1
"53","1700113A16Rik",3
"54","1700113H08Rik",4
"55","1810010H24Rik",1
"56","1810011O10Rik",1
"57","1810019D21Rik",3
"58","1810021B22Rik",1
"59","1810026J23Rik",9
"60","1810030O07Rik",3
"61","1810032O08Rik",3
"62","1810034E14Rik",4
"63","1810037I17Rik",1
"64","1810041L15Rik",6
"65","1810058I24Rik",4
"66","2010001A14Rik",1
"67","2010012O05Rik",1
"68","2010107E04Rik",4
"69","2010111I01Rik",1
"70","2010300C02Rik",1
"71","2210013O21Rik",9
"72","2210015D19Rik",1
