combat_D6_unique,DESeq2_D6_unique
4833423E24Rik,1110032F04Rik
Cyp2j13,1700025G04Rik
F7,2510002D24Rik
Mmd2,2610015P09Rik
Prdm13,2610507B11Rik
Syt10,2810013P06Rik
NA,3010026O09Rik
NA,3110057O12Rik
NA,4833419F23Rik
NA,4930402H24Rik
NA,4930412O13Rik
NA,4930452B06Rik
NA,4931406C07Rik
NA,4932438A13Rik
NA,5031434O11Rik
NA,5033428I22Rik
NA,6720489N17Rik
NA,9030624J02Rik
NA,9330133O14Rik
NA,9330159M07Rik
NA,A430105I19Rik
NA,A830010M20Rik
NA,A930004D18Rik
NA,Aars2
NA,Abcb9
NA,Abcc5
NA,Abcd4
NA,Ablim1
NA,Abtb2
NA,Acad10
NA,Acad12
NA,Acadm
NA,Acot6
NA,Acss2
NA,Actn3
NA,Adam12
NA,Adam15
NA,Adam19
NA,Adam33
NA,Adamts2
NA,Adamtsl1
NA,Adarb2
NA,Adcy4
NA,Adcy6
NA,Adcyap1r1
NA,Add1
NA,Add3
NA,Adssl1
NA,Aebp2
NA,Afap1l1
NA,Aff2
NA,Agap3
NA,Agl
NA,Agpat2
NA,Agtrap
NA,AI854703
NA,Aldh9a1
NA,Aldoc
NA,Alpk2
NA,Amot
NA,Ankrd33b
NA,Ankrd6
NA,Ankrd63
NA,Aoc3
NA,Ap1ar
NA,Ap5b1
NA,Appl1
NA,Aqp3
NA,Araf
NA,Arhgap1
NA,Arhgap10
NA,Arhgap29
NA,Arhgap36
NA,Arhgap5
NA,Arhgdib
NA,Arhgef10
NA,Arhgef37
NA,Arhgef4
NA,Asb10
NA,Asnsd1
NA,Aspm
NA,Asrgl1
NA,Astn2
NA,Atp11a
NA,Atp1b2
NA,Auh
NA,AW554918
NA,B230354K17Rik
NA,B4galnt3
NA,Baiap2l2
NA,Barx2
NA,BC026585
NA,Bend6
NA,Bmp4
NA,Bora
NA,Brwd3
NA,Btbd2
NA,C1qtnf6
NA,C2cd2l
NA,C330024D21Rik
NA,C430049B03Rik
NA,Cacna2d2
NA,Camk2a
NA,Camk2d
NA,Capn5
NA,Casd1
NA,Ccdc109b
NA,Ccdc115
NA,Ccdc42
NA,Ccdc85b
NA,Cd276
NA,Cdan1
NA,Cdc42bpa
NA,Cdc42ep2
NA,Cdnf
NA,Chgb
NA,Cited4
NA,Clcn3
NA,Clcn5
NA,Cldn12
NA,Clstn1
NA,Clstn3
NA,Cluh
NA,Clybl
NA,Cmbl
NA,Coch
NA,Col1a1
NA,Colec12
NA,Cox7a1
NA,Cpne6
NA,Crk
NA,Csf1
NA,Csrnp3
NA,Cyb5d2
NA,Cyp26a1
