combat_D6_unique,DESeq2_D6_unique
A730020E08Rik,1110012L19Rik
Ackr4,1810009A15Rik
Ascl4,2810468N07Rik
Ccl6,4921524J17Rik
Clec3b,4930453N24Rik
Ffar4,4933430I17Rik
Gm766,5330417C22Rik
H2-Aa,6330403K07Rik
Kcnh8,9630028B13Rik
Kcns2,A430005L14Rik
Klk7,Abca9
Muc5ac,Abhd10
Pof1b,Abhd8
Syt4,Accs
Ucp1,Acly
NA,Acox3
NA,Actl6a
NA,Acvr2a
NA,Acyp2
NA,Adamts9
NA,Adrm1
NA,Adss
NA,Agtr1b
NA,Akap12
NA,Akt1
NA,Amd2
NA,Anapc10
NA,Anapc5
NA,Ankrd13b
NA,Ankrd40
NA,Anp32e
NA,Anpep
NA,Aoc2
NA,Ap2s1
NA,Apex1
NA,Aplp1
NA,Arf4
NA,Arfgap1
NA,Arhgap27
NA,Arhgef2
NA,Arvcf
NA,Asap2
NA,Asf1a
NA,Atad1
NA,Atg5
NA,Atox1
NA,Atp6v0a4
NA,Atp6v1g1
NA,Atpif1
NA,Atrnl1
NA,B4galnt4
NA,Bach1
NA,Bag5
NA,BC017643
NA,Bcl2
NA,Bcl2l1
NA,Bcl2l12
NA,Bcor
NA,Bod1
NA,Brd3
NA,Brpf1
NA,C1d
NA,Cadm4
NA,Caml
NA,Camsap1
NA,Capn10
NA,Car14
NA,Casp3
NA,Cblb
NA,Ccar1
NA,Ccdc120
NA,Ccnc
NA,Ccng1
NA,Ccng2
NA,Ccnl2
NA,Ccz1
NA,Cd40
NA,Cdc123
NA,Cdc14b
NA,Cdc26
NA,Cdca4
NA,Cdca7l
NA,Cdh24
NA,Cdk2ap1
NA,Cdk4
NA,Cdkn2aip
NA,Cenpj
NA,Cep76
NA,Cep83
NA,Cept1
NA,Chchd1
NA,Chd1
NA,Chka
NA,Chmp5
NA,Chmp7
NA,Chst11
NA,Chst3
NA,Clcc1
NA,Cnih4
NA,Cnot7
NA,Cntrob
NA,Col18a1
NA,Col7a1
NA,Colec10
NA,Commd3
NA,Cops7b
NA,Coro2b
NA,Cox19
NA,Cox6c
NA,Cpm
NA,Crnkl1
NA,Cry1
NA,Csnk2b
NA,Csrnp2
NA,Ctbp1
NA,Ctif
NA,Ctnna1
NA,Ctxn1
NA,Cutal
NA,D16Ertd472e
NA,Dapp1
NA,Dbn1
NA,Dclk2
NA,Dcun1d4
NA,Ddah2
NA,Ddias
NA,Ddx18
NA,Ddx19a
NA,Dennd2c
NA,Dera
NA,Dhx57
NA,Dhx8
NA,Dlc1
NA,Dnaaf2
NA,Dnaaf3
NA,Dnajb6
NA,Dok2
NA,Dpp3
NA,Drg1
NA,Dst
NA,Dtnbp1
NA,Dusp6
NA,E2f5
NA,Ebf1
NA,Efna2
NA,Eif1
NA,Eif2ak4
NA,Eif2s1
NA,Eif3j1
NA,Eif4e
NA,Elfn2
NA,Elk3
NA,Elovl4
NA,Enpp1
NA,Epb4.1
NA,Ephb4
NA,Esco2
NA,Exoc1
NA,Exosc3
NA,Exosc4
NA,Ezh2
NA,Fam134c
NA,Fam159a
NA,Fam163a
NA,Fam169b
NA,Fam196a
NA,Fam20c
NA,Fam222a
NA,Fam78b
NA,Fam83d
NA,Fam83f
NA,Fbxl3
NA,Fgd6
NA,Fgf1
NA,Fgfr1op
NA,Fhdc1
NA,Fignl2
NA,Flywch1
NA,Fopnl
NA,Fry
NA,Ftsj1
NA,Fzd3
NA,Gabarapl1
NA,Gal3st4
NA,Gdf15
NA,Gdpd1
NA,Gla
NA,Gm13157
NA,Gm13580
NA,Gm14005
NA,Gm19277
NA,Gm5532
NA,Gm7367
NA,Gpn2
NA,Gpr137c
NA,Gpsm3
NA,Grasp
NA,Gstk1
NA,Gtpbp10
NA,Heph
NA,Hhipl2
NA,Hint1
NA,Hlf
